"RelativePath","FullName","Extension","SizeBytes","SizeMB","SizeGB","LastWrite","Attributes"
".codex\ITERATION_METRICS_SUMMARY.md","F:\一人公司\comfyui-production\.codex\ITERATION_METRICS_SUMMARY.md",".md","213","0","0","2026/9/5 3:25:51","Archive"
".codex\ITERATION_QUALITY.md","F:\一人公司\comfyui-production\.codex\ITERATION_QUALITY.md",".md","2339","0.002","0","2026/9/5 3:25:51","Archive"
".codex\MODEL_RECOMMENDATION.md","F:\一人公司\comfyui-production\.codex\MODEL_RECOMMENDATION.md",".md","278","0","0","2026/9/5 3:25:51","Archive"
".codex\PROJECT_HEALTH.md","F:\一人公司\comfyui-production\.codex\PROJECT_HEALTH.md",".md","572","0.001","0","2026/9/7 3:43:20","Archive"
".codex\RECALL_CANDIDATE.md","F:\一人公司\comfyui-production\.codex\RECALL_CANDIDATE.md",".md","3882","0.004","0","2026/9/4 4:11:36","Archive"
".codex\RELEASE_LINEAGE.json","F:\一人公司\comfyui-production\.codex\RELEASE_LINEAGE.json",".json","953","0.001","0","2026/9/4 0:12:17","Archive"
".codex\SESSION_BRIEF.md","F:\一人公司\comfyui-production\.codex\SESSION_BRIEF.md",".md","1607","0.002","0","2026/9/7 3:43:20","Archive"
".codex\SYMBOL_SCOPE_REVIEW.md","F:\一人公司\comfyui-production\.codex\SYMBOL_SCOPE_REVIEW.md",".md","248","0","0","2026/9/5 3:25:51","Archive"
".codex\TASK_CONTEXT_CANDIDATE.md","F:\一人公司\comfyui-production\.codex\TASK_CONTEXT_CANDIDATE.md",".md","6487","0.006","0","2026/9/7 3:43:20","Archive"
".codex\TEST_IMPACT_CANDIDATE.md","F:\一人公司\comfyui-production\.codex\TEST_IMPACT_CANDIDATE.md",".md","1027","0.001","0","2026/9/5 3:25:51","Archive"
".codex\TEST_IMPACT_PLAN.md","F:\一人公司\comfyui-production\.codex\TEST_IMPACT_PLAN.md",".md","739","0.001","0","2026/9/7 3:43:20","Archive"
".codex\VERIFICATION_CANDIDATE.md","F:\一人公司\comfyui-production\.codex\VERIFICATION_CANDIDATE.md",".md","1630","0.002","0","2026/9/7 3:43:20","Archive"
".codex\VERIFICATION_PROVENANCE.md","F:\一人公司\comfyui-production\.codex\VERIFICATION_PROVENANCE.md",".md","2623","0.003","0","2026/9/5 3:25:51","Archive"
".codex\active-iteration-history\CLOSED-20260904-034537.json","F:\一人公司\comfyui-production\.codex\active-iteration-history\CLOSED-20260904-034537.json",".json","929","0.001","0","2026/9/4 3:45:37","Archive"
".codex\active-iteration-history\CLOSED-20260904-044611.json","F:\一人公司\comfyui-production\.codex\active-iteration-history\CLOSED-20260904-044611.json",".json","881","0.001","0","2026/9/4 4:46:11","Archive"
".codex\active-iteration-history\CLOSED-20260904-053052.json","F:\一人公司\comfyui-production\.codex\active-iteration-history\CLOSED-20260904-053052.json",".json","982","0.001","0","2026/9/4 5:30:52","Archive"
".codex\active-iteration-history\SUPERSEDED-20260904-031811.json","F:\一人公司\comfyui-production\.codex\active-iteration-history\SUPERSEDED-20260904-031811.json",".json","629","0.001","0","2026/9/4 3:18:11","Archive"
".codex\active-iteration-history\SUPERSEDED-20260904-052559.json","F:\一人公司\comfyui-production\.codex\active-iteration-history\SUPERSEDED-20260904-052559.json",".json","903","0.001","0","2026/9/4 5:25:59","Archive"
".codex\active-iteration-history\SUPERSEDED-20260904-064331.json","F:\一人公司\comfyui-production\.codex\active-iteration-history\SUPERSEDED-20260904-064331.json",".json","1079","0.001","0","2026/9/4 6:43:31","Archive"
".codex\active-iteration-history\SUPERSEDED-20260905-031314.json","F:\一人公司\comfyui-production\.codex\active-iteration-history\SUPERSEDED-20260905-031314.json",".json","1094","0.001","0","2026/9/5 3:13:14","Archive"
".codex\active-iteration-history\SUPERSEDED-20260907-021707.json","F:\一人公司\comfyui-production\.codex\active-iteration-history\SUPERSEDED-20260907-021707.json",".json","837","0.001","0","2026/9/7 2:17:07","Archive"
".codex\active-iteration-history\SUPERSEDED-20260907-034320.json","F:\一人公司\comfyui-production\.codex\active-iteration-history\SUPERSEDED-20260907-034320.json",".json","868","0.001","0","2026/9/7 3:43:20","Archive"
".codex\tasks\TASK-20260903-223609\TASK_BRIEF.md","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260903-223609\TASK_BRIEF.md",".md","3802","0.004","0","2026/9/3 22:36:09","Archive"
".codex\tasks\TASK-20260903-223609\TASK_CONTRACT_DRAFT.json","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260903-223609\TASK_CONTRACT_DRAFT.json",".json","8137","0.008","0","2026/9/4 0:17:02","Archive"
".codex\tasks\TASK-20260904-015124\TASK_BRIEF.md","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-015124\TASK_BRIEF.md",".md","3572","0.003","0","2026/9/4 1:51:28","Archive"
".codex\tasks\TASK-20260904-015124\TASK_CONTRACT_DRAFT.json","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-015124\TASK_CONTRACT_DRAFT.json",".json","2447","0.002","0","2026/9/4 1:51:24","Archive"
".codex\tasks\TASK-20260904-015933\TASK_BRIEF.md","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-015933\TASK_BRIEF.md",".md","3097","0.003","0","2026/9/4 1:59:33","Archive"
".codex\tasks\TASK-20260904-015933\TASK_CONTRACT_DRAFT.json","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-015933\TASK_CONTRACT_DRAFT.json",".json","2095","0.002","0","2026/9/4 1:59:33","Archive"
".codex\tasks\TASK-20260904-020441\TASK_BRIEF.md","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-020441\TASK_BRIEF.md",".md","2848","0.003","0","2026/9/4 2:04:41","Archive"
".codex\tasks\TASK-20260904-020441\TASK_CONTRACT_DRAFT.json","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-020441\TASK_CONTRACT_DRAFT.json",".json","10666","0.01","0","2026/9/4 2:29:14","Archive"
".codex\tasks\TASK-20260904-022007\TASK_BRIEF.md","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-022007\TASK_BRIEF.md",".md","4341","0.004","0","2026/9/4 2:20:07","Archive"
".codex\tasks\TASK-20260904-022007\TASK_CONTRACT_DRAFT.json","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-022007\TASK_CONTRACT_DRAFT.json",".json","6224","0.006","0","2026/9/4 2:32:41","Archive"
".codex\tasks\TASK-20260904-022147\TASK_BRIEF.md","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-022147\TASK_BRIEF.md",".md","4599","0.004","0","2026/9/4 2:21:47","Archive"
".codex\tasks\TASK-20260904-022147\TASK_CONTRACT_DRAFT.json","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-022147\TASK_CONTRACT_DRAFT.json",".json","5567","0.005","0","2026/9/4 2:23:42","Archive"
".codex\tasks\TASK-20260904-022400\TASK_BRIEF.md","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-022400\TASK_BRIEF.md",".md","3809","0.004","0","2026/9/4 2:24:00","Archive"
".codex\tasks\TASK-20260904-022400\TASK_CONTRACT_DRAFT.json","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-022400\TASK_CONTRACT_DRAFT.json",".json","6023","0.006","0","2026/9/4 2:27:13","Archive"
".codex\tasks\TASK-20260904-030825\ITERATION_RESULT.json","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-030825\ITERATION_RESULT.json",".json","3655","0.003","0","2026/9/4 3:40:05","Archive"
".codex\tasks\TASK-20260904-030825\TASK_BRIEF.md","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-030825\TASK_BRIEF.md",".md","3297","0.003","0","2026/9/4 3:08:29","Archive"
".codex\tasks\TASK-20260904-030825\TASK_CONTRACT_DRAFT.json","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-030825\TASK_CONTRACT_DRAFT.json",".json","18562","0.018","0","2026/9/4 3:44:31","Archive"
".codex\tasks\TASK-20260904-035538\ITERATION_RESULT.json","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-035538\ITERATION_RESULT.json",".json","4669","0.004","0","2026/9/4 4:31:02","Archive"
".codex\tasks\TASK-20260904-035538\TASK_BRIEF.md","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-035538\TASK_BRIEF.md",".md","4368","0.004","0","2026/9/4 3:55:39","Archive"
".codex\tasks\TASK-20260904-035538\TASK_CONTRACT_DRAFT.json","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-035538\TASK_CONTRACT_DRAFT.json",".json","15186","0.014","0","2026/9/4 4:38:08","Archive"
".codex\tasks\TASK-20260904-045550\ITERATION_RESULT.json","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-045550\ITERATION_RESULT.json",".json","4572","0.004","0","2026/9/4 5:29:32","Archive"
".codex\tasks\TASK-20260904-045550\TASK_BRIEF.md","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-045550\TASK_BRIEF.md",".md","4825","0.005","0","2026/9/4 4:55:50","Archive"
".codex\tasks\TASK-20260904-045550\TASK_CONTRACT_DRAFT.json","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-045550\TASK_CONTRACT_DRAFT.json",".json","11606","0.011","0","2026/9/4 5:23:57","Archive"
".codex\tasks\TASK-20260904-053953\TASK_BRIEF.md","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-053953\TASK_BRIEF.md",".md","4846","0.005","0","2026/9/4 5:39:53","Archive"
".codex\tasks\TASK-20260904-053953\TASK_CONTRACT_DRAFT.json","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-053953\TASK_CONTRACT_DRAFT.json",".json","2753","0.003","0","2026/9/4 5:39:53","Archive"
".codex\tasks\TASK-20260904-054420\ITERATION_RESULT.json","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-054420\ITERATION_RESULT.json",".json","4896","0.005","0","2026/9/4 6:05:10","Archive"
".codex\tasks\TASK-20260904-054420\TASK_BRIEF.md","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-054420\TASK_BRIEF.md",".md","5143","0.005","0","2026/9/4 5:44:20","Archive"
".codex\tasks\TASK-20260904-054420\TASK_CONTRACT_DRAFT.json","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-054420\TASK_CONTRACT_DRAFT.json",".json","12977","0.012","0","2026/9/4 5:57:27","Archive"
".codex\tasks\TASK-20260904-063511\ITERATION_RESULT.json","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-063511\ITERATION_RESULT.json",".json","5388","0.005","0","2026/9/4 6:55:06","Archive"
".codex\tasks\TASK-20260904-063511\TASK_BRIEF.md","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-063511\TASK_BRIEF.md",".md","5138","0.005","0","2026/9/4 6:35:11","Archive"
".codex\tasks\TASK-20260904-063511\TASK_CONTRACT_DRAFT.json","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-063511\TASK_CONTRACT_DRAFT.json",".json","14707","0.014","0","2026/9/4 6:43:24","Archive"
".codex\tasks\TASK-20260904-072408\ITERATION_RESULT.json","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-072408\ITERATION_RESULT.json",".json","6430","0.006","0","2026/9/5 3:24:28","Archive"
".codex\tasks\TASK-20260904-072408\TASK_BRIEF.md","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-072408\TASK_BRIEF.md",".md","4788","0.005","0","2026/9/4 7:24:08","Archive"
".codex\tasks\TASK-20260904-072408\TASK_CONTRACT_DRAFT.json","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260904-072408\TASK_CONTRACT_DRAFT.json",".json","14914","0.014","0","2026/9/5 3:13:04","Archive"
".codex\tasks\TASK-20260906-H3-EXTENDER-UPGRADE\TASK_BRIEF.md","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260906-H3-EXTENDER-UPGRADE\TASK_BRIEF.md",".md","5855","0.006","0","2026/9/7 3:08:08","Archive"
".codex\tasks\TASK-20260906-H3-EXTENDER-UPGRADE\TASK_CONTRACT_DRAFT.json","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260906-H3-EXTENDER-UPGRADE\TASK_CONTRACT_DRAFT.json",".json","17646","0.017","0","2026/9/7 3:42:29","Archive"
".codex\tasks\TASK-20260907-020459\TASK_BRIEF.md","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260907-020459\TASK_BRIEF.md",".md","4347","0.004","0","2026/9/7 2:04:59","Archive"
".codex\tasks\TASK-20260907-020459\TASK_CONTRACT_DRAFT.json","F:\一人公司\comfyui-production\.codex\tasks\TASK-20260907-020459\TASK_CONTRACT_DRAFT.json",".json","12156","0.012","0","2026/9/7 2:16:21","Archive"
".codex\verification-receipts\api-preset-contract.json","F:\一人公司\comfyui-production\.codex\verification-receipts\api-preset-contract.json",".json","1465","0.001","0","2026/9/4 5:30:16","Archive"
".codex\verification-receipts\api-preset-contract.stderr.log","F:\一人公司\comfyui-production\.codex\verification-receipts\api-preset-contract.stderr.log",".log","960","0.001","0","2026/9/4 5:30:16","Archive"
".codex\verification-receipts\api-preset-contract.stdout.log","F:\一人公司\comfyui-production\.codex\verification-receipts\api-preset-contract.stdout.log",".log","0","0","0","2026/9/4 5:30:16","Archive"
".codex\verification-receipts\api-smoke.json","F:\一人公司\comfyui-production\.codex\verification-receipts\api-smoke.json",".json","1654","0.002","0","2026/9/5 3:21:06","Archive"
".codex\verification-receipts\api-smoke.stderr.log","F:\一人公司\comfyui-production\.codex\verification-receipts\api-smoke.stderr.log",".log","1394","0.001","0","2026/9/5 3:21:06","Archive"
".codex\verification-receipts\api-smoke.stdout.log","F:\一人公司\comfyui-production\.codex\verification-receipts\api-smoke.stdout.log",".log","0","0","0","2026/9/5 3:21:06","Archive"
".codex\verification-receipts\project-regression.json","F:\一人公司\comfyui-production\.codex\verification-receipts\project-regression.json",".json","2377","0.002","0","2026/9/5 3:19:01","Archive"
".codex\verification-receipts\project-regression.stderr.log","F:\一人公司\comfyui-production\.codex\verification-receipts\project-regression.stderr.log",".log","6915","0.007","0","2026/9/5 3:19:01","Archive"
".codex\verification-receipts\project-regression.stdout.log","F:\一人公司\comfyui-production\.codex\verification-receipts\project-regression.stdout.log",".log","0","0","0","2026/9/5 3:19:01","Archive"
".codex\verification-receipts\protected-download-state.json","F:\一人公司\comfyui-production\.codex\verification-receipts\protected-download-state.json",".json","1750","0.002","0","2026/9/5 3:21:28","Archive"
".codex\verification-receipts\protected-download-state.stderr.log","F:\一人公司\comfyui-production\.codex\verification-receipts\protected-download-state.stderr.log",".log","0","0","0","2026/9/5 3:21:28","Archive"
".codex\verification-receipts\protected-download-state.stdout.log","F:\一人公司\comfyui-production\.codex\verification-receipts\protected-download-state.stdout.log",".log","245","0","0","2026/9/5 3:21:28","Archive"
".codex\verification-receipts\secret-scan.json","F:\一人公司\comfyui-production\.codex\verification-receipts\secret-scan.json",".json","1243","0.001","0","2026/9/5 3:21:21","Archive"
".codex\verification-receipts\secret-scan.stderr.log","F:\一人公司\comfyui-production\.codex\verification-receipts\secret-scan.stderr.log",".log","0","0","0","2026/9/5 3:21:21","Archive"
".codex\verification-receipts\secret-scan.stdout.log","F:\一人公司\comfyui-production\.codex\verification-receipts\secret-scan.stdout.log",".log","49","0","0","2026/9/5 3:21:21","Archive"
".codex\verification-receipts\static-and-unit.json","F:\一人公司\comfyui-production\.codex\verification-receipts\static-and-unit.json",".json","1676","0.002","0","2026/9/4 4:41:43","Archive"
".codex\verification-receipts\static-and-unit.stderr.log","F:\一人公司\comfyui-production\.codex\verification-receipts\static-and-unit.stderr.log",".log","5296","0.005","0","2026/9/4 4:41:43","Archive"
".codex\verification-receipts\static-and-unit.stdout.log","F:\一人公司\comfyui-production\.codex\verification-receipts\static-and-unit.stdout.log",".log","0","0","0","2026/9/4 4:41:43","Archive"
".codex\verification-receipts\subtitle-preflight.json","F:\一人公司\comfyui-production\.codex\verification-receipts\subtitle-preflight.json",".json","1413","0.001","0","2026/9/5 3:21:13","Archive"
".codex\verification-receipts\subtitle-preflight.stderr.log","F:\一人公司\comfyui-production\.codex\verification-receipts\subtitle-preflight.stderr.log",".log","0","0","0","2026/9/5 3:21:13","Archive"
".codex\verification-receipts\subtitle-preflight.stdout.log","F:\一人公司\comfyui-production\.codex\verification-receipts\subtitle-preflight.stdout.log",".log","300","0","0","2026/9/5 3:21:13","Archive"
".codex\verification-receipts\workflow-spec.json","F:\一人公司\comfyui-production\.codex\verification-receipts\workflow-spec.json",".json","1372","0.001","0","2026/9/5 3:19:12","Archive"
".codex\verification-receipts\workflow-spec.stderr.log","F:\一人公司\comfyui-production\.codex\verification-receipts\workflow-spec.stderr.log",".log","0","0","0","2026/9/5 3:19:12","Archive"
".codex\verification-receipts\workflow-spec.stdout.log","F:\一人公司\comfyui-production\.codex\verification-receipts\workflow-spec.stdout.log",".log","36","0","0","2026/9/5 3:19:12","Archive"
"artifacts\upscaled_candidates\suwanqing45_subtitled_1080x1920_candidate.candidate.json","F:\一人公司\comfyui-production\artifacts\upscaled_candidates\suwanqing45_subtitled_1080x1920_candidate.candidate.json",".json","14467","0.014","0","2026/9/4 7:23:50","Archive"
"artifacts\upscaled_candidates\suwanqing45_subtitled_1080x1920_candidate.mp4","F:\一人公司\comfyui-production\artifacts\upscaled_candidates\suwanqing45_subtitled_1080x1920_candidate.mp4",".mp4","15453587","14.738","0.0144","2026/9/4 7:23:49","Archive"
"artifacts\upscaled_candidates\suwanqing45_subtitled_1080x1920_candidate.qa_frames\frame_first.jpg","F:\一人公司\comfyui-production\artifacts\upscaled_candidates\suwanqing45_subtitled_1080x1920_candidate.qa_frames\frame_first.jpg",".jpg","282020","0.269","0.0003","2026/9/4 7:23:49","Archive"
"artifacts\upscaled_candidates\suwanqing45_subtitled_1080x1920_candidate.qa_frames\frame_last.jpg","F:\一人公司\comfyui-production\artifacts\upscaled_candidates\suwanqing45_subtitled_1080x1920_candidate.qa_frames\frame_last.jpg",".jpg","299731","0.286","0.0003","2026/9/4 7:23:50","Archive"
"artifacts\upscaled_candidates\suwanqing45_subtitled_1080x1920_candidate.qa_frames\frame_mid.jpg","F:\一人公司\comfyui-production\artifacts\upscaled_candidates\suwanqing45_subtitled_1080x1920_candidate.qa_frames\frame_mid.jpg",".jpg","284084","0.271","0.0003","2026/9/4 7:23:50","Archive"
"artifacts\wan2.1_i2v_suwanqing_5s\frame_000.png","F:\一人公司\comfyui-production\artifacts\wan2.1_i2v_suwanqing_5s\frame_000.png",".png","633429","0.604","0.0006","2026/9/4 0:18:32","Archive"
"artifacts\wan2.1_i2v_suwanqing_5s\frame_2_50.png","F:\一人公司\comfyui-production\artifacts\wan2.1_i2v_suwanqing_5s\frame_2_50.png",".png","795055","0.758","0.0007","2026/9/4 0:18:32","Archive"
"artifacts\wan2.1_i2v_suwanqing_5s\frame_last.png","F:\一人公司\comfyui-production\artifacts\wan2.1_i2v_suwanqing_5s\frame_last.png",".png","739908","0.706","0.0007","2026/9/4 0:18:32","Archive"
"artifacts\wan2.1_i2v_suwanqing_5s\run_metadata.json","F:\一人公司\comfyui-production\artifacts\wan2.1_i2v_suwanqing_5s\run_metadata.json",".json","1213","0.001","0","2026/9/4 0:23:17","Archive"
"artifacts\wan2.1_i2v_suwanqing_5s\wanvideo_suwanqing_ref_5s_local_00001.mp4","F:\一人公司\comfyui-production\artifacts\wan2.1_i2v_suwanqing_5s\wanvideo_suwanqing_ref_5s_local_00001.mp4",".mp4","7953520","7.585","0.0074","2026/9/4 0:17:22","Archive"
"artifacts\wan2.1_i2v_suwanqing_5s\wanvideo_suwanqing_ref_5s_local_00001.png","F:\一人公司\comfyui-production\artifacts\wan2.1_i2v_suwanqing_5s\wanvideo_suwanqing_ref_5s_local_00001.png",".png","568421","0.542","0.0005","2026/9/4 0:17:20","Archive"
"artifacts\wan2.1_i2v_suwanqing_5s\workflow.json","F:\一人公司\comfyui-production\artifacts\wan2.1_i2v_suwanqing_5s\workflow.json",".json","3979","0.004","0","2026/9/3 23:30:48","Archive"
"backups\audit-20260904-054620\current_state.md","F:\一人公司\comfyui-production\backups\audit-20260904-054620\current_state.md",".md","854","0.001","0","2026/9/4 4:16:49","Archive"
"backups\audit-20260904-054620\HANDOFF_LATEST.md","F:\一人公司\comfyui-production\backups\audit-20260904-054620\HANDOFF_LATEST.md",".md","3204","0.003","0","2026/9/4 5:30:43","Archive"
"backups\audit-20260904-054620\minimax_h3.download-state.json","F:\一人公司\comfyui-production\backups\audit-20260904-054620\minimax_h3.download-state.json",".json","3628","0.003","0","2026/9/4 2:27:52","Archive"
"backups\audit-20260904-054620\MINIMAX_H3_STATUS.md","F:\一人公司\comfyui-production\backups\audit-20260904-054620\MINIMAX_H3_STATUS.md",".md","1095","0.001","0","2026/9/4 3:02:57","Archive"
"backups\h3-upgrade-20260907-034505\comfy.settings.json","F:\一人公司\comfyui-production\backups\h3-upgrade-20260907-034505\comfy.settings.json",".json","332","0","0","2026/9/4 15:08:04","Archive"
"backups\h3-upgrade-20260907-034505\comfyui_version.py","F:\一人公司\comfyui-production\backups\h3-upgrade-20260907-034505\comfyui_version.py",".py","128","0","0","2026/7/3 14:01:04","Archive"
"backups\h3-upgrade-20260907-034505\custom_nodes.json","F:\一人公司\comfyui-production\backups\h3-upgrade-20260907-034505\custom_nodes.json",".json","1823","0.002","0","2026/9/7 3:45:05","Archive"
"backups\h3-upgrade-20260907-034505\MiniMax_H3.config.json","F:\一人公司\comfyui-production\backups\h3-upgrade-20260907-034505\MiniMax_H3.config.json",".json","1863","0.002","0","2026/9/6 9:02:29","Archive"
"backups\h3-upgrade-20260907-034505\MiniMax_H3.json","F:\一人公司\comfyui-production\backups\h3-upgrade-20260907-034505\MiniMax_H3.json",".json","5572","0.005","0","2026/9/6 9:02:29","Archive"
